model,status,shared_paired_objects,source_videos,dynamic_minus_static_J_and_F,bootstrap_ci_low,bootstrap_ci_high,dynamic_worse_object_fraction,bootstrap_unit,bootstrap_iterations,static_J,static_F,static_J_and_F,dynamic_J,dynamic_F,dynamic_J_and_F
Sa2VA-Qwen3-VL-4B,success,64,64,-0.013966534828926742,-0.038153207867097104,0.0077520005594771905,0.59375,source_video,2000,0.4709111607009334,0.45381785890020593,0.4623645098005696,0.45242235454190727,0.4443735954013785,0.4483979749716429
InstructSeg,success,64,64,-0.055143372600420584,-0.08964736642650986,-0.023713531299503217,0.671875,source_video,2000,0.5103991598877209,0.5057399213659073,0.5080695406268141,0.4504716127909758,0.45538072326181134,0.4529261680263935
VIRST,success,64,64,-0.040178078166807685,-0.07553110351031561,-0.009048266852982434,0.578125,source_video,2000,0.6704933795735113,0.6684939358004397,0.6694936576869754,0.6268794965831539,0.6317516624571818,0.6293155795201679
