model,status,paired_objects,eligible_paired_objects,excluded_incomplete_paired_objects,source_videos,static_J,static_F,static_J_and_F,dynamic_J,dynamic_F,dynamic_J_and_F,dynamic_minus_static_J_and_F,bootstrap_ci_low,bootstrap_ci_high,dynamic_worse_object_fraction,bootstrap_unit,bootstrap_iterations,input_frames,resolution,checkpoint,checkpoint_source,training_data,explicit_temporal_module
Sa2VA-Qwen3-VL-4B,success,64,64,0,64,0.4709111607009334,0.45381785890020593,0.4623645098005696,0.45242235454190727,0.4443735954013785,0.4483979749716429,-0.013966534828926742,-0.038153207867097104,0.0077520005594771905,0.59375,source_video,2000,exactly the manifest N=16 VLM indices; fixed SAM2 input/prompt/evaluation frames,VLM 401408--1605632 pixels per frame; SAM2 1024 square,/9950backfile/chenjiahui/evo_artifacts/models/Sa2VA-Qwen3-VL-4B,original Sa2VA-Qwen3-VL-4B; no fallback; index SHA256 6b8e6a52494ba5db4069693c31688f1895e02db36deca6de4c58c1143322ff87,"official Sa2VA release lists ReVOS, MeViS, DAVIS17, Chat-UniVi, SA-V/Ref-SAV, RefCOCO/+/g, GLaMM, Osprey-724K, and LLaVA data",False
InstructSeg,success,64,64,0,64,0.5103991598877209,0.5057399213659073,0.5080695406268141,0.4504716127909758,0.45538072326181134,0.4529261680263935,-0.055143372600420584,-0.08964736642650986,-0.023713531299503217,0.671875,source_video,2000,native deterministic current frame plus four temporally ordered neighboring reference frames for every output frame,SigLIP and Mask2Former 384 inputs; masks restored to original video size,/9950backfile/chenjiahui/evo_artifacts/models/InstructSeg-official,official weic22/InstructSeg revision d5375970b819922b3f9a17c22ea8453f05d6f7b2; official code commit 01343144fc0797fa4114b28100325e3babe809e2,"official training documentation lists COCO, RefCOCO/+/g, ReasonSeg, Ref-DAVIS, Ref-YouTube-VOS, ReVOS, and LLaVA-1.5 mix-665K",True
VIRST,success,64,64,0,64,0.6704933795735113,0.6684939358004397,0.6694936576869754,0.6268794965831539,0.6317516624571818,0.6293155795201679,-0.040178078166807685,-0.07553110351031561,-0.009048266852982434,0.578125,source_video,2000,"native flex protocol: up to 64 locked VLM frames, 32 locked SAM2 prompt frames, then full-video propagation",VLM anyres_nopad; segmentation images 1024,/9950backfile/chenjiahui/evo_artifacts/external/VIRST/checkpoints/virst_checkpoint.pt,official Google Drive checkpoint; official code commit 00aecefdcbb1b5f87f9913a58d2289ce0ab82f66,"paper Table 7: Ref-DAVIS17, Ref-YouTube-VOS, MeViS, ReVOS plus its stated image segmentation and VideoLLaVA-Instruct mixture",True
